ATC1;Name1;ATC2;Name2;Mec_Detail;Eff_Detail;Kli_Detail;Grad;Pmids
C01BD07;Dronedaron;J01FA09;Clarithromycin;Additive Verlängerung der QT-Zeit;Durch die additive Verlängerung der QT-Zeit erhöht sich die Wahrscheinlichkeit für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;Die Kombination von Dronedaron und Arzneimitteln, die Torsades de pointes auslösen können, wie Clarithromycin, ist kontraindiziert [Pharmacode:4359732].;X;
C02KX01;Bosentan;B01AA04;Phenprocoumon;Bosentan induziert CYP2C9 und 3A4 [PMID:15568889] und damit auch den Metabolismus von Phenprocoumon.;In der Kombination mit Warfarin führte Bosentan zu deutlichen Abfällen des INR, die eine Erhöhung der Warfarin-Dosis erforderten [PMID:10434238][PMID:12841813][PMID:20171411]. Auch in Kombination mit Phenprocoumon ist ein Abfall der Phenprocoumon-Konzentrationen und eine verminderte antikoagulatorische Aktivität zu erwarten.;Bei der Kombination sollte der INR engmaschig kontrolliert werden, insbesondere in den ersten Wochen nach Beginn, bei Dosisänderung oder nach Absetzen von Bosentan. Bei Bedarf Dosis von Phenprocoumon anpassen.;C;10434238,12841813,20171411,15568889
J02AC03;Voriconazol;G04BE08;Tadalafil;Voriconazol hemmt CYP3A4 und kann so den Metabolismus von Tadalafil vermindern, wodurch die Tadalafil-Plasmakonzentration ansteigen kann.;Bei der Kombination von Tadalafil mit dem starken CYP3A4-Hemmer Voriconazol sind erhöhte Tadalafil-Konzentrationen mit erhöhtem Risiko stärkerer und länger anhaltender Tadalafil-Nebenwirkungen (u.a. Kopfschmerz, Hypotension, Flushing, Priapismus) zu erwarten. Ketoconazol 200 mg erhöhte die Tadalafil-AUC um das 2-fache, Ketoconazol 400 mg sogar um das 4-fache [Pharmacode:2797480].;Wird Tadalafil zusammen mit starken CYP3A4-Inhibitoren eingenommen, soll die Tadalafil-Dosis reduziert werden: Bei täglicher Gabe max. 1 × 2,5 mg pro 24h, bei Dosierung nach Bedarf max. 10 mg als Einmaldosis pro 72h [Pharmacode:2797480]. Monitoring auf Nebenwirkungen von Tadalafil, wie Hypotension, Sehstörungen, verstärkte Erektion.;D;20606131
J01FA01;Erythromycin;C01BD07;Dronedaron;Erythromycin ist ein starker Hemmer von CYP3A4. Dronedaron wird hauptsächlich über CYP3A4 metabolisiert.;Durch den gehemmten Metabolismus kann es zu erhöhten Dronedaronkonzentrationen und damit zu einer verstärkten Wirksamkeit kommen. Mögliche Folgen sind: Herzrhytmusstörungen und Blutdruckabfal [Pharmacode:4359732].;Die Kombination von Dronedaron und starken CYP-3A4-Inhibitoren ist kontraindiziert [Pharmacode:4359732].;X;
N06AX18;Reboxetin;C07AB02;Metoprolol;Metoprolol wird über CYP2D6 metabolisiert, Reboxetin hemmt aber CYP2D6 nicht relevant [PMID:17256449] [PMID:10519458].;Reboxetin führte bei Gesunden zu leichten Blutdruckerhöhungen [PMID:10511064]. Auch orthrostatische Hypotension, insbesondere bei höheren Dosierungen, wird beschrieben [Pharmacode:1164442]. Die Erfahrungen bei Patienten mit kardiovaskulären Vorerkrankungen sind allerdings begrenzt. Eine Wirkungsabschwächung von Metoprolol ist nicht auszuschliessen. Es gibt keine Hinweise auf eine pharmakokinetische Interaktion zwischen Metoprolol und Reboxetin.;Vorsichtiger Einsatz von Metoprolol in Kombination mit Reboxetin. Der Blutdruck sollte sorgfältig kontrolliert werden, insbesondere nach Therapiebeginn und -stopp und bei Dosisänderung von Reboxetin.;B;10511064
J01FA09;Clarithromycin;N05BA12;Alprazolam;Clarithromycin hemmt den Abbau von Alprazolam über CYP3A4.;Die Kombination aus Clarithromycin und Alprazolam wurde bisher nicht in Studien untersucht, es ist aber zu erwarten, dass Clarithromycin die Plasmakonzentrationen von Alprazolam erhöht. Clarithromycin 500 mg 2x täglich erhöhte bei 12 gesunden Probanden die AUC und Cmax einer Einzeldosis Triazolam (0.125 mg), welches wie Alprazolam über CYP3A4 metabolisiert wird, auf das 5.25- und 2-fache [PMID:9757151].;Monitorisieren hinsichtlich verstärkter ZNS-Depression unter Alprazolam. Alternativ könnten Lorazepam oder Oxazepam anstelle von Alprazolam eingesetzt werden, welche nicht mit CYP3A4-Hemmern interagieren.;C;8646822
N06AX21;Duloxetin;N06AA04;Clomipramin;Duloxetin hemmt CYP2D6 mässig und damit auch den Metabolismus von Clomipramin.[Pharmacode:3082866];Die AUC von Desipramin erhöhte sich unter Duloxetin auf das Dreifache, ähnliches gilt wohl auch für Clomipramin.[Pharmacode:3082866] Dadurch steigt das Risiko für eine toxische Wirkung. Mögliche Folgen: Anticholinerge Effekte, Sedation, Verwirrtheit und kardiale Arrhythmien.;Die Kombination von Trizyklika und Duloxetin wenn möglich meiden. Ist die kombinierte Gabe unumgänglich, müssen die Plasmaspiegel des Trizyklikums engmaschig monitorisiert und die Dosis bei Bedarf angepasst werden. Zusätzlich klinisches Monitoring auf mögliche Toxizität der Trizyklika.;D;
C10AA07;Rosuvastatin;C01AA05;Digoxin;Keine Interaktion;Bei dieser Kombination wurde keine klinisch relevante Interaktion nachgewiesen [PMID:12463730].;Keine spezifischen Massnahmen erforderlich.;A;12463730
N06AX12;Bupropion;C07AB03;Atenolol;Bupropion hemmt CYP2D6 stark, Atenolol wird aber überwiegend unverändert renal eliminiert.;Der Einfluss von Bupropion auf den Metabolismus von Atenolol wurde bisher nicht untersucht. Da Atenolol überwiegend unverändert über die Nieren ausgeschieden wird, ist keine Wechselwirkung zu erwarten, die mit veränderten Atenololkonzentrationen einhergeht. In der klinischen Anwendung wurde über Blutdruckerhöhungen unter Bupropion berichtet.;Blutdruckkontrolle als Vorsichtsmassnahme, sonst keine spezifischen Massnahmen erforderlich.;B;
N03AF01;Carbamazepin;L04AD02;Tacrolimus;Carbamazepin induziert CYP3A4 stark [Pharmacode:820223] und damit auch den Metabolismus von Tacrolimus [Pharmacode:2066291].;Durch die erniedrigten Tacrolimusspiegel kommt es zu einer verminderten immunsupprimierenden Wirkung. Das Risiko für eine Transplantat-Abstossung ist erhöht [Pharmacode:2066291].;Die Therapie mit Carbamazepin sollte einschleichend begonnen werden, wobei die Dosis zu Beginn alle 4-5Tage erhöht werden kann. Dabei Tacrolimusspiegel im Vollblut engmaschig bis 10 Tage nach Erreichen des Carbamazepin-Zielspiegels monitorisieren.;D;
J01FA02;Spiramycin;C10AA07;Rosuvastatin;Eine Interaktion zwischen Spiramycin und Rosuvastatin wurde nicht untersucht.;Spiramycin und Rosuvastatin haben vermutlich keinen relevanten Einfluss aufeinander.;Keine besondere Massnahme notwendig;A;2667601
D10BA01;Isotretinoin;G03CA01;Ethinylestradiol;Unklar, eventuell interagieren die Substanzen über CYP3A4, CYP1A2 und/oder die Glucuronidierung. Ethinylestradiol wird über CYP1A2 und CYP3A4 metabolisiert [PMID:9625734] und Isotretinoin v.a. über CYP3A4 [PMID:11911845].;Die Ethinylestradiolspiegel werden durch die Kombination mit Isotretinoin beeinflusst, wie und wie stark ist aber individuell sehr unterschiedlich und nicht vorhersehbar [PMID:15116059]. Es besteht ein erhöhtes Risiko für eine Schwangerschaft.;Eine zusätzliche Kontrazeption mit Barrieremethoden ist zu empfehlen und die Kontrazeption sollte mit einem hochdosierten Kombipräparat oder einer Spirale erfolgen.;D;15116059,9625734,11911845
J01XC01;Fusidinsäure;C10AA01;Simvastatin;Es wird vermutet, dass Fusidinsäure mit CYP3A4 interagiert und so eine Konzentrationserhöhung von Simvastatin verursacht [Pharmacode:1774985] [PMID: 10584978] [PMID: 12885876].;Die gleichzeitige Gabe von Fusidinsäure und Simvastatin kann zu Myopathie und Rhabdomyolyse führen. Es wird vermutet, dass die Serumkonzentrationen von Simvastatin aufgrund einer CYP3A4-Inhibition durch Fusidinsäure ansteigen [PMID:18477279][PMID:12885276][PMID:11818715].;Diese Kombination sollte vermieden werden. Die Kombination ist formal gemäss Fachinformation kontraindiziert. Falls eine Therapie mit Fusidinsäure angezeigt ist, sollte die Statintherapie vorübergehend pausiert werden oder eine andere Statintherapie gewählt werden.;D;18477279,12885276,11818715,10584978
J02AC02;Itraconazol;A10BX02;Repaglinid;Itraconazol hemmt CYP3A4 und dadurch auch den Metabolismus von Repaglinid.;Die AUC von Repaglinid ist in der Kombination mit Itraconazol um das 1.4fache erhöht [PMID:12687332]. Dies erhöht das Risiko für eine Hypoglykämie leicht.;Falls die Kombination erforderlich ist, sollte die Repagliniddosis reduziert und der Blutzuckerspiegel engmaschig kontrolliert werden.;C;12687332
N06AXa0;Johanniskraut;L04AD02;Tacrolimus;Johanniskraut induziert sowohl CYP3A4 als auch das intestinale P-Glycoprotein [PMID:12235448][PMID:11849198][PMID:11180019][PMID:15703370]. Dadurch wird der Metabolismus beschleunigt und die Bioverfügbarkeit von Tacrolimus vermindert [PMID:14681346][PMID:12637655][PMID:11923712].;Johanniskraut kann die therapeutische Wirkung von Tacrolimus abschwächen. Nach 14-tägiger Therapie mit Johanniskraut sank die AUC von Tacrolimus bei Nierentransplantierten um ca. 60% ab. Die Tacrolimus-Dosis musste fast verdoppelt werden (von 4.5 auf 8 mg/d), um therapeutische Tacrolimus-Blutkonzentrationen aufrecht erhalten zu können [PMID:14681346]. Risiken der Kombination mit Johanniskraut: Wirkverlust von Tacrolimus [PMID:11923712], Transplantatabstossung.;Diese Kombination ist kontraindiziert. Patienten müssen darauf hingewiesen werden, dass sie unter der Therapie mit Tacrolimus keine Johanniskrautpräparate einnehmen dürfen.;X;12235448,11849198,11180019,15703370,14681346,12637655,11923712
C01BD07;Dronedaron;L04AD02;Tacrolimus;Dronedaron ist ein moderater Inhibitor von CYP3A4 und hemmt auch P-Glykoprotein. Tacrolimus wird hauptsächlich über CYP3A4 metabolisiert und ist Substrat von P-Glykoprotein.;Durch den gehemmten Metabolismus kann es zu erhöhten Tacrolimus-Blutkonzentrationen kommen. Das Risiko für eine toxische Wirkung von Tacrolimus (möglich sind u.a. Nieren- und Leberfunktionsstörungen, Übelkeit, Erbrechen, Tremor) steigt.;Patient klinisch auf erhöhte Toxizität und Tacrolimus-Blutkonzentrationen engmaschig monitorisieren. Bei Bedarf Tacrolimusdosis anpassen.;D;
J01MA01;Ofloxacin;R03DA04;Theophyllin;Ofloxacin hat kaum einen Einfluss auf die Theophyllinclearance. [PMID:3052987][PMID:3481439] Jedoch können beide Substanzen zu einer erhöhten Krampfaktivität führen. [Pharmacode:1307166][Pharmacode:1834687];Im Gegensatz zu Ciprofloxacin kommt es bei der Kombination von Theophyllin mit Ofloxacin zu keinen veränderten Theophyllinspiegeln.[PMID:1611900][PMID:3052987][PMID:3481439] Doch es besteht wie bei allen Chinolonen in Kombination mit Theophyllin ein erhöhtes Risiko für Krampfanfälle.;Klinisches Monitoring auf erhöhte Krampfaktivität.;C;3052987,3481439,1611900
J04AB02;Rifampicin;N02AB03;Fentanyl;Rifampicin induziert diverse Enzyme des Cytochrom-P-450-Systems stark, u.a. auch CYP3A4 und damit den Metabolismus von Fentanyl [PMID:17196900].;Durch die erniedrigten Fentanylspiegel kann es zu einem Versagen der analgetischen Therapie kommen [PMID:17196900].;Für eine genügende Analgesie kann eine erhöhte Fentanyldosis nötig sein. Analgetische Wirksamkeit klinisch monitorisieren.;C;17196900
J05AG03;Efavirenz;P01BBa0;Proguanil und Atovaquonum ;Efavirenz hemmt CYP2C19 und kann damit zu einem verringerten Abbau von Proguanil zu Cycloguanil (aktiver Metabolit) führen. In der Kombination mit Atovaquon scheint allerdings primär Proguanil und nicht Cycloguanil synergistisch mit Atovaquon zu wirken. Efavirenz reduziert die Plasmakonzentrationen von Atovaquon vermutlich via Induktion der Glukuronidierung  [PMID:18838589].;In einer Studie führte die Kombination von Efavirenz mit Atovaquon/Proguanil bei 20 HIV-Infizierten verglichen mit 18 gesunden Probanden, die nur Atovaquon/Proguanil erhielten, zu einer Erniedrigung der Atovaquon-AUC auf im Mittel 25% [PMID:20299957]. Daten zum Einfluss von Efavirenz auf die Pharmakokinetik von Proguanil sind allerdings inkonklusiv. In obiger Studie sank die AUC von Proguanil im Mittel auf 57% ab [PMID:20299957]. In einer Studie an 15 gesunden Probanden führte Efavirenz hingegen zu einer Verdoppelung der AUC einer Einzeldosis von Proguanil. Die AUC von Cycloguanil nahm um ca. 40% ab [PMID:19961932]. Eine Wirkungsabschwächung von Atovaquon/Proguanil in der Kombination mit Efavirenz kann nicht ausgeschlossen werden.;Aufgrund der inkonklusiven Daten zum Einfluss von Efavirenz auf die Konzentrationen von Proguanil kann derzeit keine konkrete Empfehlung zur Dosisanpassung von Atovaquon/Proguanil  gemacht werden. Zudem ist nicht bekannt, welche Minimalkonzentrationen von Atovaquon zu einer wirksamen Malariaprophylaxe erforderlich sind.;C;18838589,20299957,10424325,19961932
A02BA01;Cimetidin;C01BA01;Chinidin;Cimetidin hemmt den hepatischen Metabolismus von Quinidin [PMID:2662728].;Die AUC von Quinidin ist um 14% erhöht [PMID:6506138]. Durch die erhöhten Quinidinspiegel kann es zu einem erhöhten Risiko für eine Quinidintoxizität kommen und es wurden vermehrt Arrhythmien beobachtet [PMID:2662728]. Mögliche Symptome sind Tinnitus, vernebelte Sicht, Kopfschmerzen, Nausea, Delirium.;Patient klinisch auf Quinidintoxizität monitorisieren. Quinidinspiegel kontrollieren. Bei Bedarf Dosis anpassen.;C;6506138,2662728
M01AB01;Indometacin;B01AA04;Phenprocoumon;Antiphlogistika hemmen die Thrombozytenaggregation und dadurch kommt es zu einer additiven Wirkung auf die Blutgerinnung. [PMID:5425364];Bei der Kombination von Antikoagulantien mit Antiphlogistika ist das Blutungsrisiko erhöht. Gastrointestinale Blutungen werden durch die schleimhautschädigende Wirkung der NSAIDs zusätzlich begünstigt.;Die Kombination von Antiphlogistika mit Antikoagulantien vermeiden. Ist die kombinierte Anwendung unumgänglich, den Patienten insbesondere auf Symptome einer gastrointestinalen Blutung überwachen und Blutgerinnungsparameter engmaschig monitorisieren. Wenn möglich NSAIDs nur lokal anwenden oder Wechsel der Analgesie auf Paracetamol oder Opioide.;D;5425364,8672833
J01FA09;Clarithromycin;C08DB01;Diltiazem;Clarithromycin hemmt CYP3A4 stark und damit auch den Metabolismus von Diltiazem.;Bei dieser Kombination kann es theoretisch zu erhöhten Dilatiazemspiegeln kommen. In der Literatur wurde diese Interaktion zwar noch nicht beschrieben, mit Erythromycin hingegen konnte ein 5-fach erhöhtes Risiko für einen plötzlichen Herztod gezeigt werden [PMID:15356306].;Patient klinisch auf verstärkte Diltiazemwirkung monitorisieren. Bei Bedarf Dosis anpassen.;C;
C02KX01;Bosentan;C02KX04;Sildenafil;Bosentan ist Substrat und Induktor von CYP3A4 und CYP2C9. Die Induktion von CYP3A4 beschleunigt den Metabolismus von Sildenafil [PMID:18040672]. Ungeachtet dessen wirken Bosentan und Sildenafil bei pulmonal arterieller Hypertonie pharmakodynamisch synergistisch [PMID:19755415].;Die Kombination von Bosentan und Sildenafil führt zu verminderten Sildenafil-Plasmakonzentrationen (maximale Plasmakonzentrationen (Cmax) -55%, AUC -63%) und erhöhten Bosentan-Plasmakonzentrationen (Cmax +42%, AUC + 50%) [PMID:18040672]. In dieser Interaktionsstudie bei gesunden Probanden wurde die Kombination gut toleriert und führte nicht zu klinisch signifikanten Blutdruckabfällen. Beide Substanzen senken den pulmonalen Gefässwiderstand und wirken diesbezüglich synergistisch.;Die Kombinationstherapie mit Bosentan und Sildenafil zur Behandlung der pulmonal arteriellen Hypertonie wurde bisher nur in kleinen, meist nicht-kontrollierten und nicht-randomisierten Studien untersucht [PMID:17097987][PMID:16929886][PMID:16919008][PMID:15572546][PMID:19755415]. Dort zeigte sich eine gute Verträglichkeit. Ist die Kombination erforderlich, sollte sorgfältig auf Nebenwirkungen geachtet werden (Hypotension, Kopfschmerzen, Schwindel).;C;18040672,20202971,20606131,11879259,17097987,16919008,16929886,15572546,18040672,19755415
R06AD03;Thiethylperazin;N07BC02;Methadon;Beide Substanzen addieren sich in ihrer zentralnervösen und QT-Zeit-verlängernden Wirkung [Pharmacode:879736][Pharmacode:878955].;Es besteht ein erhöhtes Risiko für ZNS- und Atemdepression mit folgenden möglichen Auswirkungen: Hypotension, vertiefte Sedation und/oder Koma. Zudem additive QT-Zeit-Verlängerung denkbar.;Falls Kombination unumgänglich, Patient engmaschig auf Atemdepression, ZNS-Depression und Hypotension monitorisieren.;D;
C01BD05;Ibutilid;A04AA01;Ondansetron;Additive Verlängerung der QT-Zeit;Vor allem nach intravenöser Verabreichung von Ondansetron wurde selten eine Verlängerung des QT-Intervalls beobachtet [PMID:18648229]. Ibutilid kann ventrikuläre Arrhythmien auslösen, meist im Zusammenhang mit einer QT-Verlängerung. In der Kombination erhöht sich das Risiko für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;Regelmässige EKG-Kontrollen der QT-Zeit. Besondere Vorsicht ist geboten, wenn Ondansetron iv appliziert wird, falls Risikofaktoren für Arrhythmien vorliegen (z.B. Elektrolytstörungen wie Hypokaliämie, Schilddrüsenfunktionsstörungen) und bei Änderungen der medikamentösen Therapie. Laut Herstellerangaben ist die Kombination von Ibutilid mit QT-verlängernden Substanzen kontraindiziert.;C;18648229,15915019,11994029,18651412
C08DB01;Diltiazem;J01FA09;Clarithromycin;Beide Substanzen können in seltenen Fällen zu Arrhythmien führen.;Bei dieser Kombination ist Wahrscheinlichkeit für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand erhöht.;Regelmässige EKG-Kontrollen, insbesondere bei Änderungen der medikamentösen Therapie.;C;
D01BA02;Terbinafin;C07AB12;Nebivolol;Terbinafin hemmt CYP2D6 [Pharmacode:1594645] und damit auch den Metabolismus von Nebivolol [Pharmacode:1982465].;Die Nebivololspiegel können erhöht sein. Mögliche Folgen: Bradykardie, Hypotonie, Bronchospasmen und akute Herzinsuffizienz [Pharmacode:1982465].;Blutdruck und Herzfrequenz monitorisieren. Da Betablocker eine hohe therapeutische Breite haben, kann die Dosis erst bei Symptomen reduziert werden. Alternative zu Terbinafin wäre zum Beispiel Itraconazol.;C;
A12AXa1;Calciumgluconat und Cholecalciferol;M05BA04;Alendronsäure;Calcium bildet mit Alendronat schwer lösliche Komplexe, wodurch die Resorption von Alendronat vermindert wird.;Die Bioverfügbarkeit von Alendronat ist sehr gering (ca. 0.6%). Bei gleichzeitiger Einnahme mit Calcium verringert sich diese weiter, weil schwer resorbierbare Komplexe gebildet werden.;Calcium-haltige Präparate sollten frühestens 30-60 Minuten nach Alendronat eingenommen werden.;C;
N05AA02;Levomepromazin;N06AA09;Amitriptylin;Levomepromazin ist ein starker Inhibitor von CYP2D6 und kann darüber den Metabolismus von Amitriptylin hemmen. In vitro hemmt Amitriptylin auch CYP2D6 [PMID:12228186], inwieweit der Metabolismus von Levomepromazin beeinflusst wird, ist aber nicht bekannt. Zudem pharmakodynamisch additive Verlängerung der QT-Zeit.;Durch die additive Verlängerung der QT-Zeit erhöht sich, insbesondere bei hohen Dosierungen, die Wahrscheinlichkeit für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand. Die erhöhten Amitriptylinkonzentrationen [Pharmacode:0655801] [PMID:7909176] können mit vermehrten Nebenwirkungen einhergehen, u.a. ZNS-Symptomen (Sedation, Halluzinationen) oder anticholinergen Symptomen (Miktionsstörungen, Tachykardie, Darmmotilitätsstörungen). Sowohl Amitriptylin als auch Levomepromazin haben anticholierge und zentraldämpfende Eigenschaften, die sich gegenseitig verstärken können (Risikofaktor: zB höheres Alter).;Regelmässige EKG-Kontrollen der QT-Zeit, insbesondere bei hohen Dosierungen und Änderungen der medikamentösen Therapie. Auch Monitorisieren von zentralnervösen und anticholinergen Nebenwirkungen (cave: beide Susbtanzen haben anticholinerge Effekte, Amitriptylin-Plasmakonzentrationen können ansteigen). Ggf. Dosisreduktion von Amitriptylin.;D;7909176,16175144,19142100,8256055
